Player,PA,AB,R,H,2B,3B,HR,RBI,BB,K,SAC,,AVG,SLG,OBP,OPS
"Andrew Burch",11,10,4,7,0,0,1,3,1,0,0,,0.700,1.000,0.727,1.727
"Nick Hanten",10,8,4,5,0,0,0,0,2,0,0,,0.625,0.625,0.700,1.325
"Oliver Patton",9,9,2,7,1,0,1,5,0,0,0,,0.778,1.222,0.778,2.000
"Qaiser Patel",11,10,0,4,1,0,0,2,0,1,1,,0.400,0.500,0.364,0.864
"Nick Mirman",10,10,0,4,0,0,0,2,0,0,0,,0.400,0.400,0.400,0.800
"Joe Edwards",9,9,2,3,0,0,0,0,0,0,0,,0.333,0.333,0.333,0.667
"Zac Chestnut",9,9,1,6,0,0,0,0,0,0,0,,0.667,0.667,0.667,1.333
"Charlie Henschen",10,10,2,6,0,1,0,0,0,0,0,,0.600,0.800,0.600,1.400
"Amory Meltzer",9,7,2,4,0,1,0,4,0,0,2,,0.571,0.857,0.444,1.302
"Gordon Walker",9,9,1,2,0,0,0,1,0,2,0,,0.222,0.222,0.222,0.444
"Scott Richardson",1,1,0,1,0,0,0,1,0,0,0,,1.000,1.000,1.000,2.000
Total:,98,92,18,49,2,2,2,18,3,3,3,,0.533,0.663,0.531,1.194
