Date,Andrew Burch,Qaiser Patel,Joe Edwards,Rich Squitieri,Nick Mirman,Nick Hanten,Nick Hurlburt,Scott Richardson,Amory Meltzer,David Holm,Dan Prince,Joey Owen,Sean Aronow
04.12.17,0.571,0.000,0.100,0.000,0.000,0.300,0.200,0.000,0.000,0.143,1.000,0.000,NaN
04.26.17,0.571,0.091,0.076,0.000,0.000,0.231,0.154,0.000,0.000,0.100,1.000,0.091,NaN
05.03.17,0.364,0.091,0.124,0.076,0.000,0.177,0.117,0.000,0.000,0.154,0.778,0.077,NaN
05.10.17,0.572,0.133,0.100,0.076,0.000,0.143,0.095,0.000,0.000,0.126,0.769,0.077,NaN
05.17.17,0.445,0.111,0.100,0.058,0.000,0.130,0.125,0.100,0.000,0.157,0.706,0.250,NaN
05.24.17,0.445,0.111,0.087,0.058,0.000,0.160,0.112,0.131,0.000,0.182,0.572,0.263,NaN
05.31.17,0.445,0.136,0.154,0.058,0.000,0.173,0.097,0.120,0.000,0.154,0.708,0.263,NaN
06.07.17,0.409,0.116,0.143,0.048,0.000,0.161,0.088,0.143,0.000,0.143,0.679,0.261,NaN
06.28.17,0.347,0.116,0.129,0.041,0.000,0.147,0.079,0.143,0.000,0.129,0.679,0.269,0.000
06.29.17,0.290,0.116,0.143,0.035,0.000,0.131,0.093,0.143,0.000,0.114,0.679,0.226,0.000
07.05.17,0.343,0.116,0.132,0.030,0.000,0.131,0.085,0.143,0.000,0.106,0.679,0.226,0.000
07.12.17,0.308,0.104,0.170,0.028,0.000,0.131,0.080,0.143,0.000,0.098,0.613,0.265,0.000
07.19.17,0.273,0.088,0.200,0.049,0.000,0.146,0.074,0.143,0.000,0.111,0.572,0.243,0.000
07.26.17,0.277,0.081,0.188,0.046,0.000,0.146,0.089,0.143,0.000,0.106,0.579,0.225,0.000
08.02.17,0.269,0.096,0.192,0.042,0.000,0.146,0.084,0.143,0.000,0.118,0.572,0.225,0.000
