Date,Andrew Burch,Qaiser Patel,Oliver Patton,Luke Heuer,Joe Edwards,Rich Squitieri,Nick Mirman,Nick Hanten,Nick Hurlburt,Charlie Henschen,Scott Richardson,Amory Meltzer,Gordon Walker,Brandon Tautges,Matt Turner,David Holm,Dan Prince,Joey Owen,Justin Lee
Start,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09.09.15,3,0,4,0,1,1,0,1,0,1,1,2,0,0,0,0,0,0,0
09.16.15,3,0,6,5,1,4,0,2,0,3,2,2,0,0,0,0,0,0,0
09.23.15,3,0,6,5,2,7,2,3,0,4,2,2,1,0,0,0,0,0,0
10.07.15,7,3,8,9,4,8,4,3,0,7,4,5,4,0,0,0,0,0,0
10.14.15,12,5,8,9,5,8,4,3,0,7,4,5,4,0,0,0,0,0,0
10.21.15,15,7,11,13,7,11,4,4,0,7,5,6,5,0,0,0,0,0,0
10.28.15,17,7,14,16,12,14,4,6,0,7,6,11,7,0,0,0,0,0,0
04.13.16,17,7,14,18,12,15,4,6,0,7,7,12,7,0,0,0,0,0,0
04.20.16,17,8,18,18,12,16,4,6,0,7,7,12,9,0,0,0,0,0,0
04.27.16,19,8,18,18,16,16,5,6,1,7,8,13,9,1,0,0,0,0,0
05.04.16,19,8,18,21,18,16,6,6,1,7,10,13,10,1,0,0,0,0,0
05.11.16,21,8,20,21,18,19,8,8,1,7,11,15,11,1,1,0,0,0,0
05.18.16,25,10,20,22,18,19,9,11,1,7,13,16,14,1,2,0,0,0,0
05.25.16,25,10,22,26,19,21,10,11,1,7,13,16,14,1,2,0,0,0,0
06.01.16,25,10,24,27,21,21,10,11,1,7,13,16,14,1,2,0,0,0,0
06.08.16,29,13,24,27,23,22,10,14,1,7,15,16,15,1,2,0,0,0,0
06.22.16,31,13,27,29,23,22,10,14,3,7,16,16,15,1,2,0,0,0,0
06.29.16,34,14,27,32,25,26,10,14,3,7,18,18,15,1,2,0,3,0,1
07.13.16,35,15,28,32,25,29,14,14,3,7,20,18,16,1,2,0,3,0,3
07.20.16,36,16,28,32,29,30,16,14,4,7,20,18,16,2,3,0,3,0,7
07.27.16,40,17,32,32,31,30,16,14,6,7,20,19,16,4,5,0,3,0,8
08.03.16,40,17,35,32,31,30,16,14,8,7,20,19,17,5,5,0,3,0,8
08.10.16,41,17,35,32,31,30,18,14,8,7,20,19,17,5,5,0,3,0,9
08.17.16,41,17,36,32,33,30,18,14,8,7,20,19,17,5,5,0,3,0,9
08.24.16,41,17,37,32,33,30,19,14,10,7,22,19,17,5,5,0,3,0,9
09.07.16,41,18,39,32,33,33,21,15,13,7,22,19,17,5,5,0,3,0,9
09.14.16,41,18,41,32,33,35,22,17,15,7,22,23,17,5,5,0,3,0,9
09.21.16,41,18,41,32,33,36,23,19,15,7,23,23,17,5,5,0,3,0,9
09.28.16,41,18,41,32,33,36,23,20,15,7,23,25,17,5,6,0,3,0,9
10.05.16,45,18,41,32,36,39,26,20,16,7,26,26,17,5,6,0,3,0,9
10.19.16,45,18,42,32,37,39,27,20,16,7,27,26,17,5,6,0,3,0,9
10.20.16,45,18,42,32,39,39,27,21,17,7,27,26,17,5,6,0,3,0,9
04.05.17,45,20,42,32,42,39,27,22,19,7,27,26,17,5,6,3,3,0,9
04.12.17,48,20,42,32,44,41,28,24,21,7,27,26,17,5,6,3,3,1,9
04.26.17,48,24,42,32,44,42,28,24,21,7,28,27,17,5,6,4,7,2,9
05.03.17,49,24,42,32,44,43,28,27,21,7,29,27,17,5,6,8,8,2,9
05.10.17,53,26,42,32,45,43,30,27,23,7,30,29,17,5,6,8,12,2,9
05.17.17,54,27,42,32,45,44,30,27,23,7,33,30,17,5,6,9,14,7,9
05.24.17,54,27,42,32,45,44,31,29,23,7,35,30,17,5,6,10,14,7,9
05.31.17,54,27,43,32,47,44,31,29,23,7,35,31,17,5,6,11,19,7,9
