"Player",AB,R,H,2B,3B,HR,TB,RBI,BB,K,SAC,AVG,OBP,SLG,OPS
"Andrew Burch",4,1,1,0,0,0,1,0,0,0,0,0.250,0.250,0.250,0.500
"Qaiser Patel",4,2,2,1,0,0,3,1,0,0,0,0.500,0.500,0.750,1.250
"Oliver Patton",3,2,2,0,0,1,5,4,0,0,0,0.667,0.667,1.667,2.334
"Joe Edwards",3,1,2,0,0,0,2,0,0,0,0,0.667,0.667,0.667,1.334
"Rich Squitieri",3,0,1,0,0,0,1,1,0,0,0,0.333,0.333,0.333,0.666
"Derek Bayes",3,0,1,0,0,0,1,1,0,0,0,0.333,0.333,0.333,0.666
"Nick Hanten",3,1,3,1,0,0,4,0,0,0,0,1.000,1.000,1.333,2.333
"Amory Meltzer",3,1,2,1,0,0,3,0,0,0,0,0.667,0.667,1.000,1.667
"Gordon Walker",3,1,1,0,0,0,1,2,0,0,0,0.333,0.333,0.333,0.666
"Matt Turner",3,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
"Total:",32,9,15,3,0,1,21,9,0,0,0,0.469,0.469,0.656,1.125
